main_id,no,creation_date,subject,product_name_1,color_1,inscription_num_1,unit_1,ship_date_1,product_name_2,color_2,inscription_num_2,unit_2,ship_date_2,product_name_3,color_3,inscription_num_3,unit_3,ship_date_3,product_name_4,color_4,inscription_num_4,unit_4,ship_date_4,product_name_5,color_5,inscription_num_5,unit_5,ship_date_5,product_name_6,color_6,inscription_num_6,unit_6,ship_date_6,last,last_order_date,last_no,inscription_date,inscription_direction,proofreading,inscription_method,inscription_work,inscription_font,font_size,print_1_text_1,print_2_text_1,print_dic_1,print_1_text_2,print_2_text_2,print_dic_2,print_1_text_3,print_2_text_3,print_dic_3,pen_content,manuscript,img_name_1,img_url_1,img_name_2,img_url_2,img_name_3,img_url_3,office_name,contact_name,store_code,company_name_1,company_name_2,contact_name_2,creation_date_2,shipment_desired,delivery_day,destination_name,zip_code,municipality,address,building_flat,phone_number,chk,packaging_printing,proofreading_2,packaging_name_1,sheet_num_1,packaging_name_2,sheet_num_2,packaging_name_3,sheet_num_3,font_heaven,print_color_heaven,free_text,font_ground_1,print_color_ground_1,font_ground_2,print_color_ground_2,font_ground_3,print_color_ground_3,img_name,packaging_heaven_1,packaging_heaven_2,packaging_heaven_3,packaging_ground_1,packaging_ground_2,packaging_ground_3,work,packing_name_1,sheet_num_2_1,packing_name_2,sheet_num_2_2,packing_name_3,sheet_num_2_3,bagging,packing_number,stop_date,box_packing,box_packing_text,packaging,expands_over,expands_over_date,first_out,free_text2
12,12D1192,12/4/2012,本多機工株式会社,SXN-250-07M．4,ﾒﾀﾘｯｸｵﾚﾝｼﾞ,170,Ｐ,0000-00-00,SXR-7　,赤,170,Ｐ,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,0000-00-00,,１面,, データ,,,,,,,,,,,,,,,データ通り　ミナミ商事（古賀担当）と同じ銘入 ,,,,1573D1192-1.JPG ,最終軸画像,,７０１,中原,440,㈱玉置,,森室長,12/4/2012,12/11/2012,12/12/2012,㈱玉置,820-0033,福岡県飯塚市徳前,２４番地２,,0948-22-2850,,有,有,,0,,0,,0,一任,黒,,一任,黒,,,, ,,新社屋竣工記念,,,本多機工株式会社,,,有,PUS-1,170,,0,,0,無,0,,有,PUS-1,無,無,,無,*本体のみ商品手配済*芯を赤に変更して下さい。　（黒芯は同送） 
13,12D1193,12/4/2012,毛利ロック(有）,ＳＥ２－２５４,Ｔ８,60,Ｐ,0000-00-00,ＳＥ２－２５４,Ｔ１３,50,Ｐ,0000-00-00,ＳＥ２－２５４,Ｔ２４,60,Ｐ,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,0000-00-00,,１面,横,不　　要,シルク,,一　任,一　任,,,,,,,,,,毛利ロック（有）,前回有り　２０１０/12/07 Ｄ1162 ,,,,1583D1193-1.JPG ,最終軸画像,,第１グループ,中牟田,104,マルマツ,,,12/4/2012,12/17/2012,12/18/2012,マルマツ,814-0002,早良区西新,４－１－１,プラリバ３Ｆ,０９２－８２１－３９５５,,,,,0,,0,,0,,白,,,,,,, ,,,,,,,,無,ＰＵＳ１,200,,0,,0,,0,,,,,,,無, 
14,12D1189,12/4/2012,　株式会社リンレイ,SN100-07．T33,透明青,300,P,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,0000-00-00,,１面,,不　　要,,,,,,,,,,,,,,,　ダック小柳様に頂いたデータ通り ,,,,1593D1189-1.JPG ,最終軸画像,,福岡１G,古賀,311,枦事務機,,杉本部長,12/4/2012,12/7/2012,12/8/2012,枦事務機,819-0383,福岡市西区田尻,53,,092-805-1400,得直先直送,無,無,,0,,0,,0,,,,,,,,, ,,,,,,,,有,PUS-１,300,,0,,0,,0,,有,PUS-１,,,,無, 
15,12ド25,12/4/2012,個人名入れ,ＭＳＸＥ３－７０１－０５,１３,1,Ｐ,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,0000-00-00,,１面,横,不　　要,ドット,,他：書き起こし,一　任,,,,,,,,,,ＹＵＭＩＫＯ,筆記体で名入れ ,,,, ,,,第１グループ,中牟田,363,たまおき宗像店,,,12/4/2012,12/13/2012,12/14/2012,たまおき宗像店,811-4188,宗像市くりえいと,１－４－５,,０９４０－３８－０２１５,得直先直送,無,無,,0,,0,,0,,,,,,,,, ,,,,,,,,無,Ｂ３６,1,,0,,0,,0,,,,,,,無, 
16,12D1175,12/4/2012,鹿屋警察署内暴走族追放推進協議会,SN118-07．24,黒,400,　Ｐ,0000-00-00,SN118-07W.4,白オレンジ,400,Ｐ,0000-00-00,SN118-07W.5 ,白黄緑,400,Ｐ,0000-00-00,SN118-07W.8 ,白水色,400,Ｐ,0000-00-00,SN118-07W.13 ,白ピンク,400,Ｐ,0000-00-00,, ,0,,0000-00-00,,0000-00-00,,２面,横, データ,シルク,,一　任,一　任,,,,,,,,,,,　暴走のない　明るいまちづくり　鹿屋警察署管内暴走族追放推進協議会 ,,,,1613D1175-1.JPG ,最終軸画像,,福岡１G,古賀,353,新生社,,福島様,12/4/2012,12/17/2012,12/18/2012,新生社,819-0161,福岡市西区今宿東3,May-39,,092-806-7456,得直先直送,無,無,,0,,0,,0,,,,,,,,, ,,,,,,,,有,Ｅ2001,2000,,0,,0,有,1,,無,,,,,無, 
17,12Ｄ1197,12/4/2012,宮崎大宮高等学校　二〇一三年,ユニ,ＨＢ,876,P,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,0000-00-00,,１面,縦,不　　要,シルク,,一　任,一　任,金,,,,,,,,,宮崎大宮高等学校　二〇一三年, ,,,,,最終軸画像,1623D1197-1.JPG ,第４Ｇ,永田,2000,山﨑㈱,,黒木,12/4/2012,12/17/2012,12/18/2012,山﨑㈱　　黒木,,,,,,得直先直送,,,,0,,0,,0,,,,,,,,, ,,,,,,,,有,,0,,0,,0,,0,,,,,,,無,作業要領：規格戻し 
18,12D1188,12/4/2012,草苑（ＳＯＵＥＮ）,UM117.24,黒,5000,P,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,9/24/2012,D894,１面,横, データ,シルク,,角ゴシック,一　任,,,,,,,,,,,　　　　草苑･久留米･小郡･美しが丘･北野･善導寺･荒木･吉井　　三潴･大川･大川･鳥栖･佐賀･大和･神埼･福岡･春日･姪浜＊前回からの変更点　　地名順番と神埼・姪浜の追加 ,,,,1643D1188-1.JPG ,最終軸画像,,第１Ｇ,久保田,813,オフィス草場,,社長様,12/4/2012,12/20/2012,12/21/2012,オフィス草場,830-0052,久留米市上津町,2203-332,,0942-22-5435,得直先直送,無,無,,0,,0,,0,,,,,,,,, ,,,,,,,,無,,0,,0,,0,,0,,,,,,,,内装規格 
19,12D1194,12/4/2012,ＴＯＴＯ,ＳＥ２－２５４ＣＮＭ．１,,1100,Ｐ,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,0000-00-00,,２面,横, データ,パッド,,指定書体,指定有,黒,,,黒,,,,,,ロジスティクス大賞受賞,１（本体軸）ロジスティクス大賞受賞　（ゴシック体別紙参照）２（クリップ）　ＴＯＴＯ　（指定書体データ有り） ,,,,1653D1194-1.JPG ,最終軸画像,,第3G,来海,3801,㈱網中キングテック本社,,要様,12/4/2012,12/18/2012,12/19/2012,㈱網中キングテック本社,803-0802,北九州市小倉北区東港2丁目５－１,,,093-561-4117,,無,,,0,,0,,0,,,,,,,,, ,,,,,,,,有,Ｅ－２０００,1100,,0,,0,有,0,,,,無,,,無, 
20,作443,12/5/2012,鉛筆３Ｐ包装,５５６６　ＳＰＭ３,,25,Ｄ,12/5/2013,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00, ,11/14/2012,作４０９,無,,不　　要,,,,,,,,,,,,,,, ,,,,,, ,開発,野村,475,日本習字,,緒方様,12/4/2012,12/7/2012,12/10/2012,日本習字配送センター（０４７７）,,古賀市花鶴丘３－１－１,,,０９２－９４２－２０３６,,無,無,,0,,0,,0,,,,,,,,, ,,,,,,,,有,ＰＰ袋,50,,0,,0,有,3, ,有,10本詰め,無,無,,無,前回通りにてお願いします。詳細直接説明致します。 
21,12Ｄ1198,12/5/2012,店名名入れ,ＳＸＮ１５００７Ｎ,１,300,Ｐ,12/5/2013,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,0000-00-00,,１面,横,本体校正,シルク,,丸ゴシック,一　任,黒,,,,,,,,,松葉屋野間店☎５１２－８８８０, ,,,,1673D1198-1.JPG ,最終軸画像,,第１グループ,中牟田,3338,松葉屋野間店,,,12/4/2012,12/13/2012,12/14/2012,松葉屋野間店,815-0041,南区野間１丁目,５－２,,０９２－５１２－８８８０,得直先直送,無,無,,0,,0,,0,,,,,,,,, ,,,,,,,,無,Ｅ２０００,400,,0,,0,無,0,,,,,,,無, 
22,12Ｄ1199,12/5/2012,御料理仕出し　味の中島屋　℡0952-62-0087,SXN-150-07.8,水色,150,P,12/5/2013,SXN-150-07.13,ﾋﾟﾝｸ,150,P,12/5/2013,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,11/30/2011,,１面,横,本体校正,パッド,,角ゴシック,指定有,白,,,,,,,,,御料理仕出し 味の中島屋 ℡0952-62-0087,御料理仕出し 味の中島屋 ℡0952-62-0087 ,,,,1683D1199-1.JPG ,最終軸画像,,エリア第２Ｇ,別府,1200,千綿文具株式会社,,千綿社長,12/4/2012,12/13/2012,12/14/2012,千綿文具株式会社,,,,,0952-24-0385,得直先直送,有,有,E-2001,300,,0,,0,,黒,,,黒,,,, ,,粗品,,,佐賀市大和町大字久池井二一六四,㈲味の中島屋,TEL0952-62-0087 FAX0952-62-2055,無,E-2001,300,,0,,0,無,0,,,,,,,無, 
23,Ｌ494,12/5/2012,レーザー名入れ,ＳＳ－１０２５．４,オレンジ,1,本,12/5/2013,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00, ,0000-00-00,,１面,横,不　　要,レーザー,,,一　任,,,,,,,,,,　　　　　　　　　　　2013　雀龍王,　　　　2013　雀龍王書体　　行書体　で作成お願いします。 ,,,,,, ,第１Ｇ,平嶋祐一,1744,ジムランド下南部店,,山下,12/4/2012,12/12/2012,12/13/2012,ジムランド下南部店,861-8019,熊本県熊本市東区下南部2丁目1－55,,,,得直先直送,,,,0,,0,,0,,,,,,,,, ,,,,,,,,無,B－32,1,,0,,0,,0, ,,,,,,無, 
24,12Ｄ1200,12/5/2012,黒津少年剣道大会,PB-105T.13,桃,190,P,12/5/2013,PB-105T.2,黄,190,P,12/5/2013,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,0000-00-00,,１面,横, データ,パッド,キャップ回し,丸ゴシック,指定有,黒,,,,,,,,,黒津少年剣道大会,黒津少年剣道大会（丸ゴシック体・黒文字・文字大きさ１３級） ,,,,1703D1200-1.JPG ,最終軸画像,,エリア第２Ｇ,別府,1211,木村文機㈱営業部,,西村様,12/4/2012,12/14/2012,12/15/2012,木村文機㈱営業部,,,,,0952-20-0202,得直先直送,無,,B-9,380,B-12,200,,0,,,,,,,,, ,,,,,,,,無,B-9,380,B-12,200,,0,,0,,無,同送,,,,無, 
25,Ｌ493,12/5/2012,レーザー名入れ,SS-1005.22　　ダークブラウン,,1,本,12/7/2013,　　　　　商品持込,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00, ,0000-00-00,,１面,横,不　　要,レーザー,,他：書き起こし,一　任,,,,,,,,,, T．Kusamichi, T.Kusamichi  筆記体で作成してください。 ,,,,,, ,第１Ｇ,平嶋祐一,4603,ジムランド八代店,,山崎,12/4/2012,12/12/2012,12/13/2012,ジムランド　八代店,866-0895,熊本県八代市大村町羽須和1097番地,,,0965－32－0260,得直先直送,,,,0,,0,,0,,,,,,,,, ,,,,,,,,無,Ｂ－３２,1,,0,,0,,0, ,,,,,,無, 
26,Ｌ492,12/5/2012,レーザー名入れ,SS-1015.70　　ダークブラウン,,1,本,12/5/2013,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00, ,0000-00-00,,,横,不　　要,レーザー,,他：書き起こし,一　任,,,,,,,,,, Kimiko.I, Kimiko.I  筆記体で作成してください。 ,,,,,, ,第１Ｇ,平嶋祐一,4602,ジムランドはません店,,,12/4/2012,12/12/2012,12/13/2012,ジムランド　はません店,862-0962,熊本県熊本市南区田迎4丁目4番38号,,,096－334－8818,,,,,0,,0,,0,,,,,,,,, ,,,,,,,,無,Ｂ－３２,1,,0,,0,,0, ,,,,,,無, 
27,L495,12/5/2012, YUDAI,M5-1012,黒,1,本,12/5/2013,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00, ,0000-00-00,,１面,横,不　　要,レーザー,パック外し,角ゴシック,一　任,,,,,,,,,,YUDAI,YUDAI ,,,,,, ,第３G,綾部承光,1001,ウエダ株式会社,,植田常務,12/4/2012,12/10/2012,12/11/2012,ウエダ株式会社,802-0015,北九州市小倉北区大田町,14-21,,093-531-5487,得直先直送,無,無,,0,,0,,0,,,,,,,,, ,,,,,,,,無,,0,,0,,0,無,0, ,無,,無,無,,無,規格戻しでお願いします。 
28,＃121,12/5/2012,出水中央高等学校TEL０９９６－６２－０５００,SXN150-07,赤,300,Ｐ,12/4/2013,SXN150-07,白,300,Ｐ,12/4/2013,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00, ,5/14/2012,#059 ,１面,,不　　要,シルク,,一　任,,白,,,青,,,,,,出水中央高等学校TEL0996-62-0500,＊注意SXN-150-07赤→印刷色（白）SXN-150-07白→印刷色（青） ,,,,,, ,第5グループ,池田,2208,（株）吉原商事,,英之様,12/4/2012,12/11/2012,12/12/2012,（株）吉原商事,899-0205,鹿児島県出水市本町,２１９番地,,０９９６－６２－８８８８,,,,,0,,0,,0,,,,,,,,, ,,,,,,,,無,E-2001（同送）,600,,0,,0,,0, ,,,,,,, 
29,Ｌ491,12/5/2012,東急ハンズ博多店,MSXE52005-07,24,2,P,0000-00-00,,,0,,0000-00-00,,本社,0,,12/6/2013,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00, ,0000-00-00,,１面,横, データ,レーザー,,指定書体,一　任,,,,,,,,,,①H．Dａｉｓｕｋｅ　②K．Mａｙｕｍｉ　,①、②共に筆記体・クリップ横に印刷 ,,,,,, ,１G,古賀,7002,東急ハンズ博多店,,松永,12/5/2012,12/13/2012,12/13/2012,　東急ハンズ博多店,,　　　営業所入り　古賀宛,,,,,無,無,,0,,0,,0,,,,,,,,, ,,,,,,,,無,,0,,0,,0,,0, ,,,,,,無, 
30,12作446,12/5/2012,県鉱工業動態統計調査御礼,コーヒー（W351-09／東栄）,,4,P,12/5/2013,塩せんべい（東栄）,,53,P,12/5/2013,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00,,0000-00-00,,無,,,,,,,,,,,,,,,,, ,,,, ,,,第5グループ,八木,2353,（有）ヨネクラ,,社長,12/5/2012,12/12/2012,12/13/2012,（有）ヨネクラ　社長様,890-0042,鹿児島市薬師,1/14/2014,,099-250-3121,,有,無,一任（お祝い）,57,,0,,0,一任,黒,縦書き,一任,黒,,,, ,,県鉱工業動態統計調査御礼,,,鹿児島県,,,有,ギフト11,57,,0,,0,,0,,,,有,有,内のし,無, 
31,作445,12/5/2012,生産動態統計調査御礼,塩せんべい（東栄）,,55,P,12/5/2013,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00, ,0000-00-00,,無,,,,,,,,,,,,,,,,, ,,,,,, ,第5グループ,八木,2353,（有）ヨネクラ,,社長,12/5/2012,12/12/2012,12/13/2012,（有）ヨネクラ　社長様,890-0042,鹿児島市薬師,1/14/2014,,099-250-3121,,有,無,一任（お祝い）,55,,0,,0,一任,黒,縦書き,一任,黒,,,, ,,生産動態統計調査御礼,,,経済産業省,鹿児島県,,有,ギフト11,55,,0,,0,,0, ,,,有,有,内のし,無, 
32,＃120,12/5/2012,㈱松田自動車整備工場,SXN150-07.6,緑,300,P,12/5/2013,SXN150-07.13,ピンク,300,P,12/5/2013,SXN150-07.8,水色,400,P,12/5/2013,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00, ,12/13/2011,168,１面,, データ,シルク,,一　任,一　任,緑軸,白,,ﾋﾟﾝｸ軸,白,,水軸,スミ,,㈱松田自動車整備工場,軸の下地白の部分に名入れしてください。全て前回通り。 ,,,,,, ,福岡営業部開発,坂口,992,坂口雑口,㈱松田自動車整備工場,永芳様,12/5/2012,12/22/2012,12/25/2012,セールス（坂口）配達,,,,,,営業所入り,無,,,0,,0,,0,,,,,,,,, ,,,,,,,,有,OP袋30㍉,1000,,0,,0,有,1, ,無,,無,無,,無, 
33,作444,12/5/2012,TOTO UNION,SHW-2051,紺,29,本,0000-00-00,　　　　商品手配済み,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,,,0,,0000-00-00,, ,0,,0000-00-00, ,0000-00-00,,,,,,,,,,,,,,,,,,, ,,,,,, ,開発G,小川　健仁,611,株式会社　ヒロカネ,北九州支店,清田支店長,12/5/2012,12/20/2012,12/21/2012,株式会社　ヒロカネ　北九州支店,802-0001,北九州市小倉北区浅野,2丁目9番22号,,093-533-4488,得直先直送,,,,0,,0,,0,,,,,,,,, ,,,,,,,,有,,0,,0,,0,,0, ,,,有,有,外のし,無,＊のし紙と包装紙は、ヒロカネより　支給。＊Bネーム・プラケースに1本セット　した後、外のし包装。　裏面右上部に印面が判るよう、　シールを貼ってください。＊注文No.62009029を納品書に　明記してください。 
